cache_key,status,title,author,isbn,matched_title,matched_author,confidence,source
die wilden kuken band 005 auf schatzsuche|thomas schmid,checked,Die wilden Küken - Band 005 - Auf Schatzsuche,"Schmid, Thomas",,,,,not_found
die drei und der verschollene pilot band 163|ben nevis,checked,Die drei ??? - und der verschollene Pilot - Band 163,"Nevis, Ben",,,,,not_found
die drei falsches spiel im internat band 030|von vogel maja,checked,Die drei !!! - Falsches Spiel im Internat - Band 030,von Vogel Maja,,,,,not_found
die drei band 034 brandgefahrlich|von vogel maja,checked,Die drei !!! - Band 034 - Brandgefährlich,von Vogel Maja,,,,,not_found
ein fall fur die schwarze pfote giftalarm|benedikt weber,found,"Ein Fall für die schwarze Pfote, Giftalarm","Weber, Benedikt",9783864291326,Ein Fall für die Schwarze Pfote: Giftalarm! Benedikt Weber,"Weber, Benedikt",0.8840,dnb
das magische baumhaus band 028 das verzauberte|mary pope osborne,checked,Das magische Baumhaus - Band 028 - Das verzauberte,"Osborne, Mary Pope",,,,,not_found
storenfrieda lauter krachgeschichten|jana frey,checked,Störenfrieda - Lauter Krachgeschichten,"Frey, Jana",,,,,not_found
die schonsten marchen von h c andersen|andersen hans christian,checked,Die schönsten Märchen von H.C.Andersen,Andersen Hans Christian,,,,,not_found
die spannendsten griechischen sagen|dimiter inkiow,found,Die spannendsten griechischen Sagen,"Inkiow, Dimiter",9783731394730,Die spannendsten griechischen Sagen Dimiter Inkiow,"Inkiow, Dimiter",0.8676,dnb
3 rittergeschichten|patricia schroder,checked,3 Rittergeschichten,"Schröder, Patricia",,,,,not_found
die drei kids band 052 machtige magier|boris pfeiffer,checked,Die Drei ??? Kids - Band 052 - Mächtige Magier,"Pfeiffer, Boris",,,,,not_found
piratten band 02 gefangen auf rattuga|peinkofer michael,checked,Piratten - Band 02 - Gefangen auf Rattuga,"Michael, Peinkofer",,,,,not_found
der kleine ritter trenk und der grosse gefahrliche|kirsten boie,found,Der kleine Ritter Trenk und der grosse Gefährliche,"Boie, Kirsten",9783862740710,Der kleine Ritter Trenk und der große Gefährliche Kirsten Boie,"Boie, Kirsten",0.8929,dnb
das magische baumhaus band 051 lawinenhunde|mary pope osborne,checked,Das magische Baumhaus - Band 051 - Lawinenhunde,"Osborne, Mary Pope",,,,,not_found
laurin das schlossgespenst|bettina obrecht,found,"Laurin, das Schlossgespenst","Obrecht, Bettina",9783641072476,"Laurin, das Schlossgespenst Bettina Obrecht","Obrecht, Bettina",0.8235,dnb
no jungs handy handy in der hand|thomas brezina,checked,"No Jungs! Handy, Handy in der Hand...","Brezina, Thomas",,,,,not_found
sherlock holmes academy geheimcode katzenpfote|holly watson,found,"Sherlock Holmes Academy, Geheimcode Katzenpfote,","Watson, Holly",9783473525379,Die Sherlock-Holmes-Academy [...] Geheimcode Katzenpfote Holly Watson,"Watson, Holly",0.8830,dnb
sherlock holmes academy|holly watson,checked,Sherlock Holmes Academy,"Watson, Holly",,,,,not_found
night school band 001 du darfst keinem trauen|c j daugherty,checked,Night School - Band 001 - Du darfst keinem trauen,"Daugherty, C.J",,,,,not_found
wie viele level hat dein leben|werner farber,checked,Wie viele Level hat dein Leben?,"Färber, Werner",,,,,not_found
verletzt|stella negri,checked,Verletzt,"Negri, Stella",,,,,not_found
die wilden kuken band 006 ab ins abenteuer|thomas schmid,checked,Die wilden Küken - Band 006 - Ab ins Abenteuer,"Schmid, Thomas",,,,,not_found
die drei band 038 stylist in gefahr|mira sol,checked,Die drei !!! - Band 038 - Stylist in Gefahr,"Sol, Mira",,,,,not_found
die drei band 167 und das blaue biest|hendrik buchna,checked,Die drei ??? - Band 167- und das blaue Biest,"Buchna, Hendrik",,,,,not_found
rick 1 wie man seine durchgeknallte familie uberlebt|antje szillat,checked,"Rick 1, Wie man seine durchgeknallte Familie überlebt","Szillat, Antje",,,,,not_found
papa auf der spur|katrin stehle,checked,Papa auf der Spur,"Stehle, Katrin",,,,,not_found
piratten band 01 unter schwarzer flagge|michael peinkofer,checked,Piratten - Band 01 - Unter schwarzer Flagge,"Peinkofer, Michael",,,,,not_found
die klapperschlangen eine bandenchefin sieht grun|angie westhoff,found,"Die Klapperschlangen, Eine Bandenchefin sieht grün","Westhoff, Angie",9783781723375,Die Klapperschlangen Bd. 4. Eine Bandenchefin sieht grün Angie Westhoff,"Westhoff, Angie",0.8729,dnb
codewort 007 alarm im advent|antonia michaelis,checked,"codewort 007 , Alarm im Advent","Michaelis, Antonia",,,,,not_found
die kaminski kids band 014 gefahrliches spiel|carlo meier,found,Die Kaminski-Kids - Band 014 - Gefährliches Spiel,"Meier, Carlo",9783038480181,Die Kaminski-Kids Bd. 14. Gefährliches Spiel Carlo Meier,"Meier, Carlo",0.8864,dnb
die drei band 016 total verknallt|maya vogel,checked,Die drei !!! - Band 016 - Total verknallt,"Vogel, Maya",,,,,not_found
die kaminski kids band 007 auf heisser spur|carlo meier,found,Die Kaminski-Kids - Band 007 - Auf heisser Spur,"Meier, Carlo",9783765538278,Die Kaminski-Kids Bd. 7. Auf heißer Spur Carlo Meier,"Meier, Carlo",0.8468,dnb
die kaminski kids band 006 in der falle|carlo meier,found,Die Kaminski-Kids - Band 006 - In der Falle,"Meier, Carlo",9783765540806,Die Kaminski-Kids Bd. 6. In der Falle Carlo Meier,"Meier, Carlo",0.8605,dnb
die drei band 037 mission pferdeshow|henriette wich,checked,Die drei !!! - Band 037 - Mission Pferdeshow,"Wich, Henriette",,,,,not_found
tausendschon|kristina ohlsson,checked,Tausendschön,"Ohlsson, Kristina",,,,,not_found
verachtung band 4|jussi adler olsen,checked,Verachtung - Band 4,"Adler-Olsen, Jussi",,,,,not_found
die wanderhure bd 1|iny lorentz,checked,"Die Wanderhure, Bd 1","Lorentz, Iny",,,,,not_found
die kastellanin|iny lorentz,checked,Die Kastellanin,"Lorentz, Iny",,,,,not_found
das vermachtnis der wanderhure bd 3|iny lorentz,checked,"Das Vermächtnis der Wanderhure, Bd 3","Lorentz, Iny",,,,,not_found
die tochter der wanderhure|iny lorentz,checked,Die Tochter der Wanderhure,"Lorentz, Iny",,,,,not_found
der hobbit oder hin und zuruck|j r r tolkien,found,Der Hobbit oder Hin und Zurück,"Tolkien, J.R.R",9783608101386,Der Hobbit Oder Hin und zurück J.R.R. Tolkien,"Tolkien, J. R. R.",0.8581,dnb
smaragdgrun liebe geht durch den magen band 3|kerstin gier,checked,"Smaragdgrün, Liebe geht durch den Magen, Band 3","Gier, Kerstin",,,,,not_found
saphirblau liebe geht durch alle zeiten band 2|kerstin gier,checked,"Saphirblau, Liebe geht durch alle Zeiten, Band 2","Gier, Kerstin",,,,,not_found
