title,author
Laden der Träume - Band 001 - Das Gold der Piraten,"Ahner, Dirk"
Tod im Schärengarten - Band 2,"Sten, Viveca"
Eisiger Dienstag,"French, Nicci"
Die Toten von Sandhamn - Band 3,"Sten, Viveca"
Erwartung - Band 5,"Adler-Olsen, Jussi"
Bretonische Brandung,"Bannalec, Jean-Luc"
Vollendet,"Schusterman, Neal"
Felicity Gallant und das steinerne Herz,"Welsh, Melanie"
Anne Frank das Tagebuch,"Frank, Anne"
Escape - Band 001 - Fall bloss nicht auf,"Bowler, Tim"
"Escape - Band 002 - Flieh, so schnell du kannst","Bowler, Tim"
"Escape - Band 003 - Lauf, so weit du kannst","Bowler, Tim"
Escape - Band 004 - Zeig keine Angst,"Bowler, Tim"
Frostglut,"Estep, Jennifer"
Night School - Band 003 - denn Wahrheit musst du,"Daugherty, C.J"
Die drei !!! - Band 040 - Achtung Spionage,"Wich, Henriette"
"Ich, Lilly und der Rest der Welt","Maxeiner, Alexandra"
Die drei !!! - Band 042 - Geheimnis der alten Villa,"Vogel, Maya"
Piratten; Die Schatzinsel,"Peinkofer, Michael"
"Die Sherlock Holmes Academy, Mission Meisterdetektiv","Watson, Holly"
Die drei !!! - Skandal im Café Lomo! - Band 044,"Wich, Henriette"
Karlotta verzettelt sich,"Singer, Claire"
"Seekers, Feuer im Himmel","Hunter, Erin"
Die Kaminski-Kids - Band 015 - Im Kölner Verlies,"Meier, Carlo"
Der Kuss der Göttin,"Pike, Aprilynne"
Lola in geheimer Mission,"Abedi, Isabel"
Traumsammler,"Hosseini, Khaled"
Die Olchis - werden Fussballmeister,"Dietl, Erhard"
Monster Mia - Band 002 - und das schaurig-schöne,"Saddlewick, A.B"
Das magische Baumhaus - Band 048 - Das Geheimnis,"Osborne, Mary Pope"
Sternenritter - Band 001 - Die Festung im All,"Peinkofer, Michael"
Monster Mia - Band 001 - und das grosse Fürchten,"Saddlewick, A.B"
60 Sekunden - Der schrecken der Tiefsee - Band 01,"Reifenberg, Frank"
Beast Quest - Band 001 - Ferno Herr des Feuers,"Blade, Adam"
Als der Weihnachtsmann vom Himmel fiel,"Funke, Cornelia"
Die wilden Küken - Band 07 - Bühne frei!,"Schmid, Thomas"
Die drei !!! - Band 049 - Skandal auf dem Laufsteg,"Sol, Mira"
Die drei !!! - Band 051 - Krimi Dinner,"Wich, Henriette"
Die Kaminski-Kids - Band 016 - Fahrerflucht,"Meier, Carlo"
Die wilden Küken - Band 004 - Es spukt!,"Schmid, Thomas"
Die wilden Hühner - Band 006 - und das Leben,"Schmid, Thomas"
Der Hof,"Beckett, Simon"
Beim ersten Schärenlicht - Band 5,"Sten, Viveca"
Noah,"Fitzek, Sebastian"
Endlich beliebt ! - Band 005,"Ignatow, Amy"
Endlich beliebt! - Band 004,"Ignatow, Amy"
Endlich beliebt! - Band 001,"Ignatow, Amy"
Dork Diaries - Nikki als graziöse Eisprinzessin,"Russell, Rachel"
Dork Diaries - Band 01- Nikkis fabelhafte Welt,"Russell, Rachel"
Dork diaries - Nikkis glamouröses Partyleben,"Russell, Rachel"
Dork diaries - Nikkis guter Rat in allen Lebenslagen,"Russell, Rachel"
Dork diaries - Band 03 - Mach dich zum Dork,"Russell, Rachel"
Mein Lotta-Leben - Band 05 - Ich glaub meine Kröte,"Pantermüller, Alice"
Mein Lotta-Leben - Band 02 - Wie belämmert ist das,"Pantermüller, Alice"
Mein Lotta-Leben - Band 03 - Hier steckt der Wurm drin!,"Pantermüller, Alice"
Der Clan der Wölfe - Band 001 - Donnerherz,"Lasky, Kathryn"
Der Clan der Wölfe - Band 002 - Schattenkrieger,"Lasky, Kathryn"
"Tom Gates - Band 001 - Wo ich bin ist Chaos, aber ich","Pichon, Liz"
Tom Gates - Band 004 - Ich bin so was von genial,"Pichon, Liz"
Warrior Cats - 4/Band 1 - Der vierte Schüler,"Hunter, Erin"
Chaos und flambierte Herzen,"Ullrich, Hortense"
Gregs Tagebuch - Band 008 - Echt übel,"Kinney, Jeff"
Tafiti - Band 003 - und das Riesenbaby,"Boehme, Julia"
Tiger-Team - Band 038 - Die Stunde des Hexenmeisters,"Brezina, Thomas"
Ponyherz - Band 001 - Anni findet ein Pony,"Luhn, Usch"
Ponyherz - Band 002 - in Gefahr,"Luhn, Usch"
Liliane Susewind - Band 009 - Ein Pinguin will hoch hinaus,"Stewner, Tanya"
Ein Fall für Kwiatkowski - Band 006 - Die afrikanische,"Banscherus, Jürgen"
Ein Fall für Kwiatkowski - Band 017 - Detektive küsst man,"Banscherus, Jürgen"
KATZENGESCHICHTEN,"Jablonski, Marlene"
Fussballhelden,"Brezina, Thomas"
Die drei ??? Kids - Band 058 - Spur der Drachen,"Blanck, Ulf"
Im Tempel des Bösen,"Tielmann, Christian"
5 Sterne für Lola,"Abedi, Isabel"
Die Kaminski-Kids - Band 005 - Auf der Flucht,"Meier, Carlo"
Bibi & Tina - der Tiger von Rothenbrunn,"Gürtler, Stephan"
Finnas Pferde,"Gürtler, Claudia"
60 Sekunden - Band 02 - Das Geheimnis der,"Reifenberg, Frank"
Die Schule der magischen Tiere - Band 004 -,"Auer, Margit"
Trubel auf Burg Drachenstein,"Auer, Margit"
Die Schule der magischen Tiere - Band 001,"Auer, Margit"
Die Schule der magischen Tiere - Band 002 - Voller,"Auer, Margit"
Bretonisches Gold,"Bannalec, Jean-Luc"
Die List der Wanderhure,"Lorentz, Iny"
Mörderische Schärennächte - Band 4,"Sten, Viveca"
Sternenritter - Band 002 - Angriff der Robotroxe,"Peinkofer, Michael"
Die Olchis - auf dem Schulfest,"Dietl, Erhard"
Die drei ??? Kids - Band 061 - Alarm im Dino-Park,"Pfeiffer, Boris"
Nanuk - Ein kleiner Eisbär findet Freunde,"Schröder, Patricia"
Ein Fall für die Kichererbsen,"Reider, Katja"
Tafiti - Band 004 - und Ur-ur-ururopas Goldschatz,"Boehme, Julia"
Der kleine Drache Kokosnuss - Band 022 - und die Reise,
Laden der Träume - Band 004 - Der Wikinger-Wettstreit,"Ahner, Dirk"
Nele - Band 012 - Film ab auf Burg Kuckuckstein,"Luhn, Usch"
Samba Kicker - Aufruhr im Stadion,"Lenk, Fabian"
Das magische Baumhaus - Band 038 - Das verborgene,"Osborne, Mary Pope"
Die drei ??? Kids - Band 039 - Der verrückte Erfinder,"Blanck, Ulf"
Die drei ??? Kids - Band 024 - Im Bann des Zauberers,"Blanck, Ulf"
Die drei ??? Kids - Band 036 - Mission Mars,"Pfeiffer, Boris"
Sternenritter - Band 003 - Der Planet aus Eis,"Peinkofer, Michael"
Nur ein Kuss von dir,"Ransom, S.C"
Die Liebe der Göttin,"Pike, Aprilynne"
Nur ein Blick von dir,"Ransom, S.C"
Tom Gates - Band 006 - Jetzt gibt's was auf die Mütze,"Pichon, Liz"
"Armouron, Die erste Mission der Space Warriors","Mc Gann, O.B."
"Ferien, Flirten & Flamingos","Till, Jochen"
"Cool bleiben, Hugo","Zett, Sabine"
"Komm, lass uns ein Ding drehen!","Kaster, Armin"
Nur ein Hauch von dir,"Ransom, S.C"
Die Lebenden und die Toten,"Neuhaus, Nele"
Warum haben wir Tomaten auf den Augen?,"Dreller, Christian"
Sternenschweif - Band 039 - Funkelnder Wasserzauber,"Chapman, Linda"
Sternenschweif - Band 012 - Ein neuer Freund,"Chapman, Linda"
Sternenschweif - Band 023 - Liebeszauber,"Chapman, Linda"
Die drei !!! - Filmstar in Gefahr - Band 046,"Wich, Henriette"
Die drei !!! - Tatort Geisterhaus - Band 045,"Wich, Henriette"
OBSIDIAN,"Armentrout, Jennifer L."
Tiger-Team - Band 040 - Geheimtreff Schule -,
"Beast Quest - Band 002 - Sepron, Königer der Meere","Blade, Adam"
Beast Quest - Band 003 - Arcta Bezwinger der Berge,"Blade, Adam"
"Beast Quest - Band 004 - Tagus, Prinz der Steppe","Blade, Adam"
Beast Quest - Band 006 - Eposs Gebieter der Lüfte,"Blade, Adam"
Beast Quest - Band 005 - Nanook Herrscherin der,"Blade, Adam"
Schwarzer Mittwoch,"French, Nicci"
Die sieben Schwestern,"Riley, Lucinda"
Dunkler Donnerstag,"French, Nicci"
Passagier 23,"Fitzek, Sebastian"
Blauer Montag,"French, Nicci"
Doppelbindung - Ein Alpstein-Krimi - Band 1,"Burk, Walter"
Doppelrolle - Ein Alpstein-Krimi - Band 2,"Burk, Walter"
Der kleine Drache Kokosnuss - Band 023 - Expedition auf,"Siegner, Ingo"
Sternenschweif - Band 044 - Zauber der Mondblumen,
Die drei ??? Kids - Band 063 - Monster-Wolken,"Pfeiffer, Boris"
Die drei ??? Kids - Band 062 - Gefahr im Dschungel,"Blanck, Ulf"
Agent Andy Action - Der Fall Blaue Hornisse,THiLO
Zwei Meerschweinchen im Klassenzimmer,"Allert, Judith"
Ein Fall für Kwiatkowski - Band 021 - Schnüfflerpech und,"Banscherus, Jürgen"
Das magische Baumhaus - Band 049 - Abenteuer im Tal,"Osborne, Mary Pope"
Pilotengeschichten,Fischer-Hunold Alexandra
Notruf aus dem Roboland,Zapf
Beast Quest - Band 008 - Clark Riese des Dschungels,"Blade, Adam"
Beast Quest - Band 007 - Zefa Gigant des Ozeans,"Blade, Adam"
Die Olchis - und der karierte Tigerhai,"Dietl, Erhard"
Hexe Lilli - Band 018 - im Wunderland,Knister
Piratten - Band 03 - Das Geheimnis der Schatzkarte,"Peinkofer, Michael"
Piratten - Band 04 - Der Schrecken der Sümpfe,"Peinkofer, Michael"
Die drei !!! - Band 048 - Die Maske der Königin,"Sol, Mira"
Die drei !!! - Band 054 - Klappe und Action!,"Sol, Mira"
Die drei !!! - Hochzeitsfieber - Band 053,"Wich, Henriette"
Selection,
"Selection, Der Erwählte","Cass, Kiera"
"Selection, Die Elite","Cass, Kiera"
Total Absturz,"Dölling, Beate"
Ein Fall für die Pony-Kommissare,"Rapley, B"
Die drei ??? - Der Geist des Goldgräbers - Band 177,"Marx, André"
Alicia - Band 003 - Liebe gut alles gut!!!,"Einwohlt, Ilona"
Heldentage,"Raml, Sabine"
Die Nordseedetektive - Band 001 - Das geheimnisvolle,"Göschle, Bettina"
Finde den Täter - Tatort Krähenstein,"Press, Julian"
Ronan Strongheart,"Roy, Carter"
Rückwärts ist kein Weg,"Frey, Jana"
Die Neuen passen hier nicht rein!,"Kaster, Armin"
Beast Quest - Band 010 - Vipero Fürst der Schlangen,"Blade, Adam"
Beast Quest - Band 009 - Soltra Beschwörerin der Steine,"Blade, Adam"
