cache_key,title,author,found,status,isbn,isbn_type,matched_title,matched_author,google_id
ronja raubertochter|astrid lindgren,Ronja Räubertochter,Astrid Lindgren,true,found,9783486808179,ISBN_13,"Astrid Lindgren, Ronja Räubertochter",Sonja Müller-Schamell,,,https://books.google.com/books/content?id=I0xvSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,I0xvSQAACAAJ
5 sterne fur lola|isabel abedi,5 Sterne für Lola,Isabel Abedi,true,found,9783732004157,ISBN_13,5 Sterne für Lola (Band 8),Isabel Abedi,Juvenile Fiction,"In Lolas Leben wimmelt es vor Krisen. Mama hat eine Baby-Krise. Tante Lisbeth hat eine Verlobungs-Krise. Und Lolas beste Freundin Flo hat eine Enzo-Krise. (Das ist eine Krise, die man bekommt, wenn ein Pflegebruder einzieht, für den die Bezeichnung ""schwer erziehbar"" noch harmlos ist.) Aber die gefährlichste Krise von...",https://books.google.com/books/content?id=Pkt4DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Pkt4DwAAQBAJ
bibi tina der tiger von rothenbrunn|stephan gurtler,Bibi & Tina - der Tiger von Rothenbrunn,Stephan Gürtler,false,not_found,,,,,,,,
finnas pferde|claudia gurtler,Finnas Pferde,Claudia Gürtler,true,found,9783702658809,ISBN_13,Finnas Pferde,Claudia Gürtler,,,,dCtyuwEACAAJ
60 sekunden band 02 das geheimnis der|frank reifenberg,60 Sekunden - Band 02 - Das Geheimnis der,Frank Reifenberg,false,not_found,,,,,,,,
die schule der magischen tiere band 004|margit auer,Die Schule der magischen Tiere - Band 004 -,Margit Auer,false,not_found,,,,,,,,
trubel auf burg drachenstein|margit auer,Trubel auf Burg Drachenstein,Margit Auer,true,found,9783473368709,ISBN_13,Trubel auf Burg Drachenstein,Margit Auer,,,https://books.google.com/books/content?id=1psVngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1psVngEACAAJ
die schule der magischen tiere band 001|margit auer,Die Schule der magischen Tiere - Band 001,Margit Auer,false,not_found,,,,,,,,
bretonisches gold|jean luc bannalec,Bretonisches Gold,Jean-Luc Bannalec,true,found,9783462046229,ISBN_13,Bretonisches Gold,Jean-Luc Bannalec,Brittany (France),,https://books.google.com/books/content?id=nfvknQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,nfvknQEACAAJ
morderische scharennachte band 4|viveca sten,Mörderische Schärennächte - Band 4,Viveca Sten,false,not_found,,,,,,,,
sternenritter band 002 angriff der robotroxe|michael peinkofer,Sternenritter - Band 002 - Angriff der Robotroxe,Michael Peinkofer,false,not_found,,,,,,,,
die olchis auf dem schulfest|erhard dietl,Die Olchis - auf dem Schulfest,Erhard Dietl,true,found,9783789112898,ISBN_13,Die Olchis auf dem Schulfest,,,,,8p-8vAEACAAJ
die drei kids band 061 alarm im dino park|boris pfeiffer,Die drei ??? Kids - Band 061 - Alarm im Dino-Park,Boris Pfeiffer,false,not_found,,,,,,,,
nanuk ein kleiner eisbar findet freunde|patricia schroder,Nanuk - Ein kleiner Eisbär findet Freunde,Patricia Schröder,true,found,9783641133245,ISBN_13,"Erst ich ein Stück, dann du! - Nanuk - Ein kleiner Eisbär findet Freunde",Patricia Schröder,Juvenile Fiction,"Die erfolgreiche Kinderbuchreihe mit bewährtem Konzept für das gemeinsame Lesenlernen und –üben Der kleine Eisbär Nanuk wohnt hoch oben im Norden, wo er den ganzen Tag draußen herumtollen und im Eismeer tauchen kann. Nur ein bisschen einsam ist es hier. Doch das ändert sich, als eines Tages ziemlich bunte Geschöpfe au...",https://books.google.com/books/content?id=OjKbAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,OjKbAwAAQBAJ
tafiti band 004 und ur ur ururopas goldschatz|julia boehme,Tafiti - Band 004 - und Ur-ur-ururopas Goldschatz,Julia Boehme,false,not_found,,,,,,,,
der kleine drache kokosnuss band 022 und die reise|,Der kleine Drache Kokosnuss - Band 022 - und die Reise,,false,not_found,,,,,,,,
laden der traume band 004 der wikinger wettstreit|dirk ahner,Laden der Träume - Band 004 - Der Wikinger-Wettstreit,Dirk Ahner,false,not_found,,,,,,,,
nele band 012 film ab auf burg kuckuckstein|usch luhn,Nele - Band 012 - Film ab auf Burg Kuckuckstein,Usch Luhn,false,not_found,,,,,,,,
samba kicker aufruhr im stadion|fabian lenk,Samba Kicker - Aufruhr im Stadion,Fabian Lenk,false,not_found,,,,,,,,
das magische baumhaus band 038 das verborgene|mary pope osborne,Das magische Baumhaus - Band 038 - Das verborgene,Mary Pope Osborne,false,not_found,,,,,,,,
die drei kids band 039 der verruckte erfinder|ulf blanck,Die drei ??? Kids - Band 039 - Der verrückte Erfinder,Ulf Blanck,false,not_found,,,,,,,,
