cache_key,title,author,found,status,isbn,isbn_type,matched_title,matched_author,google_id
ronja raubertochter|astrid lindgren,Ronja Räubertochter,Astrid Lindgren,true,found,9783486808179,ISBN_13,"Astrid Lindgren, Ronja Räubertochter",Sonja Müller-Schamell,,,https://books.google.com/books/content?id=I0xvSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,I0xvSQAACAAJ
blatterteig und volkerball|tony ettlin,Blätterteig und Völkerball,Tony Ettlin,true,found,9783857915321,ISBN_13,Blätterteig und Völkerball,Tony Ettlin,Biography & Autobiography,"Wenige Schritte vom Dorfplatz Stans beginnt die Schmiedgasse, eine Gasse mit einem besonderen Zusammengehörigkeitsgefühl. In dieser Gasse übernahmen 1956 Tony Ettlins Eltern eine Bäckerei. Mit sorgfältig gezeichneten Erinnerungen erzählt Tony Ettlin zuerst von seinen ersten sechs Jahren auf einem Bauernhof ausserhalb...",https://books.google.com/books/content?id=NoUI0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,NoUI0QEACAAJ
seelen|stephenie meyer,Seelen,Stephenie Meyer,true,found,9783646926071,ISBN_13,Seelen,Stephenie Meyer,Juvenile Fiction,"Planet Erde, irgendwann in der Zukunft. Sogenannte Seelen haben sich in den Körpern der Menschen eingenistet und ihre Kontrolle übernommen. Als die Rebellin Melanie von der Seele Wanda in Besitz genommen wird, setzt sie alles daran, nicht aus ihrem Körper verdrängt zu werden. Denn Melanie hat ein Ziel: Sie will ihren...",https://books.google.com/books/content?id=oNobAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,oNobAwAAQBAJ
der katalane|noah gordon,Der Katalane,Noah Gordon,true,found,9783641132743,ISBN_13,Der Katalane,Noah Gordon,Fiction,"Mit der Kraft des spanischen Weins Nachdem er Zeuge eines kaltblütigen Mordes wurde, versteckt sich Josep vier lange Jahre in Frankreich. Nun, zurück in seinem Heimatdorf in Katalonien, will er sich seinen Lebenstraum erfüllen: vollmundigen Wein auf dem Gut seiner Väter zu keltern. Doch die Reben sind vertrocknet, die...",https://books.google.com/books/content?id=Tm8SAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Tm8SAgAAQBAJ
das magische baumhaus band 009 der ruf der|mary pope osborne,Das magische Baumhaus - Band 009 - Der Ruf der,Mary Pope Osborne,false,not_found,,,,,,,,
das magische baumhaus band 032 der gestohlene|mary pope osborne,Das magische Baumhaus - Band 032 - Der gestohlene,Mary Pope Osborne,false,not_found,,,,,,,,
der kleine konig feiert weihnachten|hedwig munck,Der kleine König feiert Weihnachten,Hedwig Munck,true,found,9783837304299,ISBN_13,Der kleine König,"Gabriele Blum, Hedwig Munck, Markus Langer",,"7 neue von den 14 Buchgeschichten (BA 5/08) über den durch das TV-Sandmännchen bekannten ""kleinen König"", der zusammen mit seinen 5 Tierfreunden und seiner Cousine, der kleinen Prinzessin, manches Abenteuer besteht und Problemchen meistert. Mit Situationskomik und Sprachwitz wird von den Aufregungen der Vorweihnachtsz...",https://books.google.com/books/content?id=_LMgngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,_LMgngEACAAJ
die drei kids band 016 der magische brunnen|ulf blanck,Die drei ??? Kids - Band 016 - Der magische Brunnen,Ulf Blanck,false,not_found,,,,,,,,
das magische baumhaus band 035 angriff des|mary pope osborne,Das magische Baumhaus - Band 035 - Angriff des,Mary Pope Osborne,false,not_found,,,,,,,,
das magische baumhaus band 002 der|mary pope osborne,Das magische Baumhaus - Band 002 - Der,Mary Pope Osborne,false,not_found,,,,,,,,
gepardensommer|katja brandis,Gepardensommer,Katja Brandis,true,found,9783401808918,ISBN_13,Gepardensommer,Katja Brandis,Young Adult Fiction,"Wenn aus einem Abenteuertrip eine Reise zu sich selbst wird! Für alle Leserinnnen, die dem Ruf der Freiheit in die weite Welt folgen wollen. Vor allem aber für alle größer gewordenen Woodwalkers-Fans. Auf Lilly wartet ein unvergessliches Erlebnis: Sie darf auf einer Farm in Namibia mitarbeiten, die sich dem Schutz der...",https://books.google.com/books/content?id=yg_ADwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,yg_ADwAAQBAJ
