title,author,isbn,matched_title,matched_author,confidence,source
Ein unvergänglicher Sommer,Isabel Allende,9783844531282,Ein unvergänglicher Sommer Isabel Allende,"Allende, Isabel",0.8321,dnb
Jenseits der südlichen Sterne,Elizabeth Haran,9783751773287,Jenseits der südlichen Sterne Elizabeth Haran,"Haran, Elizabeth",0.8378,dnb
Die Stille meiner Worte,Ava Reed,9783841505941,Die Stille meiner Worte Ava Reed,"Reed, Ava",0.8773,dnb
Tausendundein Tag,Hera Lind,9783963775017,Tausendundein Tag,"Lind, Hera",1.0000,dnb
"Jetzt ist alles, was wir haben",Amy Giles,9783641197209,"Jetzt ist alles, was wir haben Amy Giles","Giles, Amy",0.8897,dnb
"Nächte, in denen Sturm aufzieht",Jojo Moyes,9783644406445,"Nächte, in denen Sturm aufzieht Jojo Moyes","Moyes, Jojo",0.8838,dnb
Der Pascha aus Urnäsch,Abdullah Dur,9783858302588,Der Pascha aus Urnäsch Abdullah Dur,"Dur, Abdullah",0.8289,dnb
Zwischen dir und mir das Meer,Katharina Herzog,9783644403529,Zwischen dir und mir das Meer Katharina Herzog,"Herzog, Katharina",0.8300,dnb
Das Verschwinden der Stephanie Mailer,Joël Dicker,9783844919806,Das Verschwinden der Stephanie Mailer Joël Dicker,"Dicker, Joël",0.8953,dnb
Eddy Stone und der Pirat in der Badewanne,Simon Cherry,9783732529360,Eddy Stone und der Pirat in der Badewanne Band 1 Simon Cherry,"Vogler, Mareijke",0.8529,dnb
"Rodrigo Raubein und Knirps, sein Knappe",Michael Ende,9787556857531,"Rodrigo Raubein und Knirps, sein Knappe, chinesisch Michael Ende","Ende, Michael",0.8200,dnb
Willi Vampir in der Schule,Erhard Dietl,9783473381357,Willi Vampir in der Schule Erhard Dietl,"Dietl, Erhard",0.8500,dnb
Die junge Frau und die Nacht,Guillaume Musso,9783844919820,Die junge Frau und die Nacht Guillaume Musso,"Musso, Guillaume",0.8333,dnb
Wie ein Leuchten in tiefer Nacht,Jojo Moyes,9783499020346,Wie ein Leuchten in tiefer Nacht Jojo Moyes,"Moyes, Jojo",0.8900,dnb
Der Kinderflüsterer,Alex North,9783837155822,Der Kinderflüsterer Alex North,"North, Alex",0.8316,dnb
Ophelia Scale - Der Himmel wird beben,Lena Kiefer,9783570165430,Ophelia Scale - der Himmel wird beben Lena Kiefer,"Kiefer, Lena",0.8902,dnb
The Diary of a Young Girl Book and MP3 Pack,Anne Frank,9781408294277,Level 4: The Diary of a Young Girl Book and MP3 Pack Anne Frank,"Frank, Anne",0.8643,dnb
Die Tränen der Maori-Göttin,Sarah Lark,9783963770395,Die Tränen der Maori-Göttin Roman Sarah Lark,"Lark, Sarah",0.8204,dnb
Hope - Der Ruf der Pferde,Sarah Lark,9783414825728,Hope - der Ruf der Pferde Sarah Lark,"Lark, Sarah",0.8553,dnb
Tara und Tahnee - verloren im Tal des Goldes,Patrick Hertweck,9783423719087,Tara und Tahnee - verloren im Tal des Goldes Patrick Hertweck,"Hertweck, Patrick",0.8738,dnb
Willa of the Wood – Das Geheimnis der Wälder,Robert Beatty,9783733651954,Willa of the Wood – Das Geheimnis der Wälder Robert Beatty,"Beatty, Robert",0.8929,dnb
Ein Fall für die Kichererbsen,Katja Reider,9783619144815,Ein Fall für die Kichererbsen Katja Reider,"Reider, Katja",0.8627,dnb
Magische Geschichten,THiLO,9783473491629,Magische Geschichten von THiLO,THiLO,0.8500,dnb
Im Labyrinth der Finsternis,Fabian Lenk,9783619144808,Im Labyrinth der Finsternis Fabian Lenk,"Lenk, Fabian",0.8636,dnb
