title,author,isbn,isbn_type,matched_title,matched_author,genre,short_description,cover_url,google_id,status,from_cache
Emma will`s wissen,Maja von Vogel,9783841500502,ISBN_13,Emma will's wissen,Maja von Vogel,,,https://books.google.com/books/content?id=CxUtuwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,CxUtuwAACAAJ,found,false
Neues vom Räuber Hotzenplotz,Otfried Preussler,9783464900987,ISBN_13,Neues vom Räuber Hotzenplotz : 5 - 10 Jahre ; nach Motiven des Buches von Otfried Preußler,,,,https://books.google.com/books/content?id=iGxpzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,iGxpzwEACAAJ,found,false
Die Chemie des Todes,Simon Beckett,9783644204119,ISBN_13,Die Chemie des Todes,Simon Beckett,Fiction,Der fesselnde Auftakt der Thriller-Reihe um Dr. David Hunter führt in die faszinierende Welt der forensischen Anthropologie. Ein Muss für Fans von cleveren Thrillern. Sterben kann ewig dauern ... aber der menschliche Körper beginnt kaum fünf Minuten nach dem Tod zu verwesen – und wird dann zu einem gigantischen Festsc...,https://books.google.com/books/content?id=Q_5sAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Q_5sAgAAQBAJ,found,false
Spielmacher - Sport-Krimi,"Andreas Schlüter, Irene Margil",9783423713689,ISBN_13,Spielmacher - Fünf Asse,"Andreas Schlüter, Irene Margil",,"Das seien die Ängste einer Generation, die schon am eigenen Videorekorder verzweifele.",https://books.google.com/books/content?id=z5JePgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,z5JePgAACAAJ,found,false
Abgetaucht - Sport-Krimi,"Andreas Schlüter, Irene Margil",9783423713627,ISBN_13,Fünf Asse,"Andreas Schlüter, Irene Margil",,"Das seien die Ängste einer Generation, die schon am eigenen Videorekorder verzweifele.",https://books.google.com/books/content?id=DTJdPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,DTJdPgAACAAJ,found,false
Ein Fall für Kommissar Maroni,Jürg Obrist,9783423713610,ISBN_13,Ein Fall für Kommissar Maroni,Jürg Obrist,,Eine Sammlung von 40 peppig illustrierten Minikrimis zum Mitraten. Ab 9.,https://books.google.com/books/content?id=-OZSPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,-OZSPgAACAAJ,found,false
Madita,Astrid Lindgren,9783789141690,ISBN_13,Astrid-Lindgren-Edition : die schönsten Romane und Erzählungen für Kinder. 8. Madita,Astrid Lindgren,,,,FFaRDAEACAAJ,found,false
Der Elefantentempel,Katja Brandis,9783401811048,ISBN_13,Der Elefantentempel,Katja Brandis,Juvenile Fiction,"Ein Sommer in Thailand zum Träumen schön. Ein Sommer voller Höhen und Tiefen. Ricarda hat ganz besondere Pläne für die Sommerferien: eine Reise nach Thailand in ein Elefantencamp mit ihrer besten Freundin Sophia. Eigentlich sollte es die schönste Zeit ihres Lebens werden, doch als die beiden angekommen sind, fliegen s...",https://books.google.com/books/content?id=pfohEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,pfohEQAAQBAJ,found,false
Als Opa alles auf den Kopf stellte,Gerald Merkel,9783407627902,ISBN_13,"""Als Opa alles auf den Kopf stellte"" im Unterricht",Gerald Merkel,,,,k-WtpwAACAAJ,found,false
Ferien im Schrank,Annette Roeder,9783551316479,ISBN_13,Meine nicht ganz normale Familie 1: Ferien im Schrank,Annette Roeder,Juvenile Fiction,"Was macht man, wenn die eigenen vier Wände schrabbelig, die Möbel unbequem, das Klo dauerverstopft und das Geld knapp ist? Man zieht für ein paar Wochen ins Möbelparadies – so wie Anton und seine Familie. Bei Couch & Co gibt es schließlich genügend Zimmer, die nur darauf warten, dass mal jemand in ihnen wohnt!",https://books.google.com/books/content?id=Ejg5DwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Ejg5DwAAQBAJ,found,false
