title,author
Die Schule der magischen Tiere - Band 001,Margit Auer
Bretonisches Gold,Jean-Luc Bannalec
Mörderische Schärennächte - Band 4,Viveca Sten
Sternenritter - Band 002 - Angriff der Robotroxe,Michael Peinkofer
Die Olchis - auf dem Schulfest,Erhard Dietl
Die drei ??? Kids - Band 061 - Alarm im Dino-Park,Boris Pfeiffer
Nanuk - Ein kleiner Eisbär findet Freunde,Patricia Schröder
Tafiti - Band 004 - und Ur-ur-ururopas Goldschatz,Julia Boehme
Der kleine Drache Kokosnuss - Band 022 - und die Reise,
Laden der Träume - Band 004 - Der Wikinger-Wettstreit,Dirk Ahner
Nele - Band 012 - Film ab auf Burg Kuckuckstein,Usch Luhn
Samba Kicker - Aufruhr im Stadion,Fabian Lenk
Das magische Baumhaus - Band 038 - Das verborgene,Mary Pope Osborne
Die drei ??? Kids - Band 039 - Der verrückte Erfinder,Ulf Blanck
Die drei ??? Kids - Band 024 - Im Bann des Zauberers,Ulf Blanck
Die drei ??? Kids - Band 036 - Mission Mars,Boris Pfeiffer
Sternenritter - Band 003 - Der Planet aus Eis,Michael Peinkofer
Nur ein Kuss von dir,S.C Ransom
Die Liebe der Göttin,Aprilynne Pike
Nur ein Blick von dir,S.C Ransom
Tom Gates - Band 006 - Jetzt gibt's was auf die Mütze,Liz Pichon
"Armouron, Die erste Mission der Space Warriors",O.B. Mc Gann
"Cool bleiben, Hugo",Sabine Zett
Die Lebenden und die Toten,Nele Neuhaus
Warum haben wir Tomaten auf den Augen?,Christian Dreller
Sternenschweif - Band 039 - Funkelnder Wasserzauber,Linda Chapman
Sternenschweif - Band 012 - Ein neuer Freund,Linda Chapman
Sternenschweif - Band 023 - Liebeszauber,Linda Chapman
Die drei !!! - Filmstar in Gefahr - Band 046,Henriette Wich
Die drei !!! - Tatort Geisterhaus - Band 045,Henriette Wich
OBSIDIAN,Jennifer L. Armentrout
Tiger-Team - Band 040 - Geheimtreff Schule -,
"Beast Quest - Band 002 - Sepron, Königer der Meere",Adam Blade
Beast Quest - Band 003 - Arcta Bezwinger der Berge,Adam Blade
"Beast Quest - Band 004 - Tagus, Prinz der Steppe",Adam Blade
Beast Quest - Band 006 - Eposs Gebieter der Lüfte,Adam Blade
Beast Quest - Band 005 - Nanook Herrscherin der,Adam Blade
Schwarzer Mittwoch,Nicci French
Die sieben Schwestern,Lucinda Riley
Dunkler Donnerstag,Nicci French
Passagier 23,Sebastian Fitzek
Blauer Montag,Nicci French
Doppelbindung - Ein Alpstein-Krimi - Band 1,Walter Burk
Doppelrolle - Ein Alpstein-Krimi - Band 2,Walter Burk
Der kleine Drache Kokosnuss - Band 023 - Expedition auf,Ingo Siegner
Sternenschweif - Band 044 - Zauber der Mondblumen,
Die drei ??? Kids - Band 063 - Monster-Wolken,Boris Pfeiffer
Die drei ??? Kids - Band 062 - Gefahr im Dschungel,Ulf Blanck
Agent Andy Action - Der Fall Blaue Hornisse,THiLO
Zwei Meerschweinchen im Klassenzimmer,Judith Allert
Ein Fall für Kwiatkowski - Band 021 - Schnüfflerpech und,Jürgen Banscherus
Das magische Baumhaus - Band 049 - Abenteuer im Tal,Mary Pope Osborne
Pilotengeschichten,Fischer-Hunold Alexandra
Notruf aus dem Roboland,Zapf
Beast Quest - Band 008 - Clark Riese des Dschungels,Adam Blade
Beast Quest - Band 007 - Zefa Gigant des Ozeans,Adam Blade
Die Olchis - und der karierte Tigerhai,Erhard Dietl
Hexe Lilli - Band 018 - im Wunderland,Knister
Piratten - Band 03 - Das Geheimnis der Schatzkarte,Michael Peinkofer
Piratten - Band 04 - Der Schrecken der Sümpfe,Michael Peinkofer
Die drei !!! - Band 048 - Die Maske der Königin,Mira Sol
Die drei !!! - Band 054 - Klappe und Action!,Mira Sol
Die drei !!! - Hochzeitsfieber - Band 053,Henriette Wich
Selection,
"Selection, Der Erwählte",Kiera Cass
"Selection, Die Elite",Kiera Cass
Total Absturz,Beate Dölling
Ein Fall für die Pony-Kommissare,B Rapley
Die drei ??? - Der Geist des Goldgräbers - Band 177,André Marx
Alicia - Band 003 - Liebe gut alles gut!!!,Ilona Einwohlt
Heldentage,Sabine Raml
Die Nordseedetektive - Band 001 - Das geheimnisvolle,Bettina Göschle
Finde den Täter - Tatort Krähenstein,Julian Press
Ronan Strongheart,Carter Roy
Rückwärts ist kein Weg,Jana Frey
Beast Quest - Band 010 - Vipero Fürst der Schlangen,Adam Blade
Beast Quest - Band 009 - Soltra Beschwörerin der Steine,Adam Blade
Beast Quest - Band 012 - Trillion Tyrann der Wildnis,Adam Blade
Beast Quest - Band 011 - Arachnid - Meister der Spinnen,Adam Blade
Bretonischer Stolz,Jean-Luc Bannalec
Warrior Cats - 1/Band 3 - Geheimnis des Waldes,Erin Hunter
Warrior Cats - 1/Band 2 - Feuer und Eis,Erin Hunter
Die schönsten Märchen der Gebrüder Grimm,Gebrüder Grimm
Die drei ??? Kids - Band 042 - Fussballgötter,Boris Pfeiffer
Tod in stiller Nacht - Band 6,Viveca Sten
Das Dornenkind - Band 5,Max Bentow
Takeover,Jussi Adler-Olsen
Mörderischer Freitag,Nicci French
Monster Mia - Band 005 - und das Biest von Oddington,A.B Saddlewick
Monster Mia - Band 004 - und die schräge Schulkontolle,A.B Saddlewick
Sternenritter - Band 004 - Verrat auf dem Feuerstern,Michael Peinkofer
Beast Quest - Band 018 - Sting Wächter der Festung,Adam Blade
Beast Quest - Band 016 - Karmon Höllenhund des,Adam Blade
Beast Quest - Band 015 - Narga Monster der Meere,Adam Blade
Beast Quest - Band 017 - Tusko Herrscher der Wälder,Adam Blade
Funklerwald,Stefanie Taschinski
Snöfrid aus dem Wiesental,Schmachtl Andreas H.
Monster Mia - Band 008 - und der verflixte Flaschengeist,A.B Saddlewick
Monster Mia - Band 003 - und die ungeheuerliche,A.B Saddlewick
Monster Mia - Band 006 - und der teuflische,A.B Saddlewick
Monster Mia - Band 007 - und das geheimnisvolle,A.B Saddlewick
Beast Quest - Band 014 - Skoro Dämon der Wolken,Adam Blade
Die drei ??? Kids - Band 064 - In der Schatzhöhle,Boris Pfeiffer
Sternenschweif - Band 046 - Das magische Wasser,Linda Chapman
Tafiti - Band 006 - und die Affenbande,Julia Boehme
Das magische Baumhaus - Band 050 - Das beste,Mary Pope Osborne
Die frechen Vier - Mit Sack und Pack ins Abenteuer,Usch Luhn
Liliane Susewind - Band 002 - Ein Meerschwein ist nicht,Tanya Stewner
Nele - Band 013 - und die Hundeschule,Usch Luhn
Ponygeschichten,Katja Reider
"Ein Fall für Kwiatkowski - Band 010 - Donner, Blitz und",Jürgen Banscherus
Mein Freund aus dem Roboland,Zapf
Extrem TV,Vitor Zimmerer
KLAR; Der Cybermobbingalbtraum,Annette Weber
Onyx Schattenschimmer Band 2,Jennifer L. Armentrout
Opal; Schattenglanz,Jennifer L. Armentrout
Das erste Mal wird’s heut passieren,Annette Weber
Die drei !!! - Geheimnis im Düstermoor - Band 056,Maya Vogel
Die drei !!! - Tatort Kreuzfahrt - Band 057,Henriette Wich
Finde den Täter - Der Fluch der schwarzen Schützen,Julian Press
Finde den Täter - Geheimbund Rote Koralle,Julian Press
Gregs Tagebuch - Band 006 - Keine Panik,Jeff Kinney
"Luisa, Schule ist toll, besonders in den Ferien!",Janne Nilsson
Die drei ??? - Band 156 - Im Netz des Drachen,Marco Sonnleitner
"Die sagenhafte Saubande, Kommando Känguru",Nina Weger
